judul,harga,lokasi,kamar_tidur,kamar_mandi,carport,luas_tanah,luas_bangunan
Rp 10 Miliar,Rp 10 Miliar,"Bintaro, Tangerang Selatan",4,2,,600 m²,450 m²
Full Furnished,"Rp 1,58 Miliar","Rp 1,58 Miliar",,,,90 m²,126 m²
Dekat Akses Transportasi,"Rp 1,75 Miliar","Rp 1,75 Miliar",,,,120 m²,60 m²
Siap Huni,Rp 670 Juta,"Graha Raya, Tangerang",,,,73 m²,91 m²
Full Furnished,"Rp 2,06 Miliar","Rp 2,06 Miliar",,,,169 m²,120 m²
Full Furnished,Rp 910 Juta,"Gading Serpong, Tangerang",,,,174 m²,165 m²
Full Furnished,Rp 620 Juta,"Gading Serpong, Tangerang",,,,60 m²,60 m²
Full Furnished,"Rp 1,65 Miliar","Rp 1,65 Miliar",,,,112 m²,72 m²
Siap Huni,Rp 490 Juta,"Gading Serpong, Tangerang",,,,60 m²,60 m²
Full Furnished,"Rp 1,58 Miliar","Rp 1,58 Miliar",,,,90 m²,126 m²
Full Furnished,"Rp 1,24 Miliar","Rp 1,24 Miliar",,,,110 m²,100 m²
Full Furnished,Rp 7 Miliar,"Gading Serpong, Tangerang",5,1,,270 m²,350 m²
Full Furnished,"Rp 1,75 Miliar","Rp 1,75 Miliar",,,,140 m²,103 m²
Full Furnished,"Rp 1,5 Miliar","Rp 1,5 Miliar",,,,120 m²,87 m²
Full Furnished,"Rp 1,75 Miliar","Rp 1,75 Miliar",,,,85 m²,200 m²
Full Furnished,"Rp 1,65 Miliar","Rp 1,65 Miliar",,,,112 m²,72 m²
Full Furnished,Rp 880 Juta,"BSD, Tangerang",2,1,,70 m²,45 m²
Full Furnished,Rp 600 Juta,"BSD, Tangerang",,,,60 m²,60 m²
Full Furnished,"Rp 2,3 Miliar","Rp 2,3 Miliar",,,,135 m²,90 m²
Full Furnished,"Rp 3,02 Miliar","Rp 3,02 Miliar",5,1,,120 m²,145 m²
Siap Huni,"Rp 1,49 Miliar","Rp 1,49 Miliar",,,,90 m²,68 m²
Rp 4 Miliar,Rp 4 Miliar,"Rumah Gading Serpong Luas 121,5m2 Cluster Carson ! Favorit",,,,121 m²,150 m²
"Rp 1,35 Miliar","Rp 1,35 Miliar","Rp 1,35 Miliar",2,2,,80 m²,85 m²
Siap Huni,"Rp 1,85 Miliar","Rp 1,85 Miliar",2,1,,72 m²,125 m²
Dekat Akses Transportasi,"Rp 2,7 Miliar","Rp 2,7 Miliar",4,2,,108 m²,126 m²
Siap Huni,Rp 585 Juta,"Pamulang, Tangerang Selatan",2,2,,72 m²,45 m²
Full Furnished,"Rp 1,21 Miliar","Rp 1,21 Miliar",2,1,,70 m²,69 m²
Full Furnished,Rp 889 Juta,"Pamulang, Tangerang Selatan",3,1,,68 m²,95 m²
Full Furnished,Rp 670 Juta,"Pamulang, Tangerang Selatan",2,1,,65 m²,46 m²
Full Furnished,Rp 679 Juta,"Rumah 1,5 Lantai Furnished Terlaris Dekat Tol",2,1,,66 m²,45 m²
Dekat Akses Transportasi,"Rp 4,9 Miliar","Rp 4,9 Miliar",4,2,,200 m²,200 m²
Full Furnished,"Rp 5,5 Miliar","Rp 5,5 Miliar",4,2,,250 m²,230 m²
Full Furnished,"Rp 4,2 Miliar","Rp 4,2 Miliar",3,2,,144 m²,288 m²
"Rp 4,8 Miliar","Rp 4,8 Miliar","Rp 4,8 Miliar",3,2,,750 m²,400 m²
"Rp 1,6 Miliar","Rp 1,6 Miliar","Rp 1,6 Miliar",3,1,,112 m²,73 m²
Dekat Sekolah,"Rp 5,7 Miliar","Rp 5,7 Miliar",6,1,,198 m²,110 m²
Full Furnished,"Rp 16,4 Miliar","Rp 16,4 Miliar",4,2,,336 m²,520 m²
"Rp 1,15 Miliar","Rp 1,15 Miliar","Rp 1,15 Miliar",2,1,,60 m²,53 m²
Rp 7 Miliar,Rp 7 Miliar,"Gading Serpong, Tangerang",,,,162 m²,196 m²
Full Furnished,"Rp 5,7 Miliar","Rp 5,7 Miliar",,,,231 m²,297 m²
Dekat Sekolah,"Rp 3,3 Miliar","Rp 3,3 Miliar",4,2,,200 m²,165 m²
"Rp 2,3 Miliar","Rp 2,3 Miliar","Rp 2,3 Miliar",2,1,,96 m²,73 m²
"Rp 5,95 Miliar","Rp 5,95 Miliar","Rp 5,95 Miliar",4,1,,136 m²,235 m²
Siap Huni,"Rp 3,2 Miliar","Rp 3,2 Miliar",3,2,,230 m²,180 m²
Full Furnished,"Rp 6,5 Miliar","Rp 6,5 Miliar",5,2,,144 m²,277 m²
Dekat Sekolah,"Rp 29,5 Miliar","Rp 29,5 Miliar",,,,782 m²,1140 m²
Siap Huni,"Rp 1,05 Miliar","Rp 1,05 Miliar",3,2,,60 m²,60 m²
Dekat Pusat Perbelanjaan,"Rp 1,8 Miliar","Rp 1,8 Miliar",2,1,,90 m²,130 m²
Full Furnished,"Rp 2,7 Miliar","Rp 2,7 Miliar",3,2,,84 m²,89 m²
Full Furnished,"Rp 2,95 Miliar","Rp 2,95 Miliar",3,1,,128 m²,130 m²
Full Furnished,"Rp 1,95 Miliar","Rp 1,95 Miliar",3,1,,63 m²,105 m²
"Rp 12,5 Miliar","Rp 12,5 Miliar","Rp 12,5 Miliar",4,2,,580 m²,600 m²
Bebas Banjir,"Rp 1,08 Miliar","Rp 1,08 Miliar",3,1,,51 m²,58 m²
Siap Huni,"Rp 2,6 Miliar","Rp 2,6 Miliar",3,1,,120 m²,240 m²
Full Furnished,"Rp 1,9 Miliar","Rp 1,9 Miliar",3,1,,77 m²,72 m²
Dekat Pusat Perbelanjaan,"Rp 2,3 Miliar","Rp 2,3 Miliar",,,,84 m²,100 m²
Dekat Pusat Perbelanjaan,"Rp 2,1 Miliar","Rp 2,1 Miliar",,,,72 m²,100 m²
Dekat Sekolah,"Rp 4,5 Miliar","Rp 4,5 Miliar",3,2,,121 m²,150 m²
Full Furnished,Rp 40 Miliar,"BSD City, Tangerang",,,,988 m²,1766 m²
Siap Huni,"Rp 3,2 Miliar","Rp 3,2 Miliar",4,2,,120 m²,138 m²
Rp 3 Miliar,Rp 3 Miliar,"Gading Serpong, Tangerang",,,,118 m²,102 m²
Full Furnished,Rp 18 Miliar,"Rumah Sultan Di Lyndon, Navapark",5,3,,396 m²,595 m²
Rp 3 Miliar,Rp 3 Miliar,"Gading Serpong, Tangerang",,,,206 m²,200 m²
Siap Huni,"Rp 4,2 Miliar","Rp 4,2 Miliar",3,2,,235 m²,250 m²
Siap Huni,Rp 890 Juta,"Rumah Nempel Bsd Siap Huni Free Dp Dan Biaya Surat, Kpr",1,1,,60 m²,36 m²
Siap Huni,"Rp 4,9 Miliar","Rp 4,9 Miliar",4,2,,200 m²,200 m²
"Rp 1,27 Miliar","Rp 1,27 Miliar","Rp 1,27 Miliar",3,1,,63 m²,86 m²
"Rp 2,95 Miliar","Rp 2,95 Miliar","Rp 2,95 Miliar",5,1,,153 m²,132 m²
Dekat Sekolah,"Rp 9,6 Miliar","Rp 9,6 Miliar",,,,369 m²,460 m²
Full Furnished,"Rp 1,61 Miliar","Rp 1,61 Miliar",,,,110 m²,100 m²
Full Furnished,Rp 970 Juta,"Serpong, Tangerang Selatan",,,,161 m²,150 m²
Full Furnished,Rp 1 Miliar,"Serpong, Tangerang Selatan",,,,84 m²,45 m²
Full Furnished,"Rp 2,09 Miliar","Rp 2,09 Miliar",,,,112 m²,69 m²
Siap Huni,"Rp 3,1 Miliar","Rp 3,1 Miliar",3,2,,120 m²,170 m²
Full Furnished,Rp 830 Juta,"Serpong, Tangerang Selatan",,,,81 m²,45 m²
Full Furnished,"Rp 1,03 Miliar","Rp 1,03 Miliar",,,,75 m²,99 m²
Full Furnished,Rp 810 Juta,"Serpong, Tangerang Selatan",,,,84 m²,36 m²
Full Furnished,"Rp 1,02 Miliar","Rp 1,02 Miliar",,,,84 m²,54 m²
Full Furnished,Rp 910 Juta,"Serpong, Tangerang Selatan",,,,84 m²,39 m²
Siap Huni,Rp 720 Juta,"Lippo Karawaci, Tangerang",2,1,,72 m²,36 m²
Full Furnished,"Rp 1,4 Miliar","Rp 1,4 Miliar",,,,120 m²,100 m²
"Rp 3,3 Miliar","Rp 3,3 Miliar","Rp 3,3 Miliar",2,1,,135 m²,129 m²
Full Furnished,"Rp 1,95 Miliar","Rp 1,95 Miliar",,,,120 m²,130 m²
Full Furnished,"Rp 2,95 Miliar","Rp 2,95 Miliar",,,,180 m²,100 m²
Full Furnished,"Rp 1,24 Miliar","Rp 1,24 Miliar",,,,65 m²,54 m²
Full Furnished,"Rp 1,4 Miliar","Rp 1,4 Miliar",,,,137 m²,105 m²
Full Furnished,Rp 910 Juta,"Ciputat, Tangerang Selatan",,,,92 m²,75 m²
Full Furnished,Rp 970 Juta,"Ciputat, Tangerang Selatan",,,,90 m²,115 m²
Full Furnished,"Rp 1,08 Miliar","Rp 1,08 Miliar",,,,125 m²,100 m²
Full Furnished,"Rp 1,05 Miliar","Rp 1,05 Miliar",,,,75 m²,69 m²
Full Furnished,"Rp 1,04 Miliar","Rp 1,04 Miliar",,,,60 m²,80 m²
Full Furnished,"Rp 1,29 Miliar","Rp 1,29 Miliar",,,,123 m²,45 m²
Full Furnished,"Rp 1,4 Miliar","Rp 1,4 Miliar",,,,60 m²,72 m²
Full Furnished,Rp 960 Juta,"Bintaro, Tangerang Selatan",,,,103 m²,90 m²
Full Furnished,"Rp 1,5 Miliar","Rp 1,5 Miliar",,,,85 m²,105 m²
Full Furnished,Rp 910 Juta,"Bintaro, Tangerang Selatan",,,,72 m²,47 m²
Full Furnished,"Rp 1,65 Miliar","Rp 1,65 Miliar",,,,112 m²,72 m²
Full Furnished,"Rp 1,58 Miliar","Rp 1,58 Miliar",,,,90 m²,126 m²
Full Furnished,"Rp 1,58 Miliar","Rp 1,58 Miliar",,,,90 m²,126 m²
Full Furnished,"Rp 1,75 Miliar","Rp 1,75 Miliar",,,,120 m²,60 m²
Full Furnished,Rp 980 Juta,"Serpong, Tangerang Selatan",,,,72 m²,64 m²
Full Furnished,"Rp 1,24 Miliar","Rp 1,24 Miliar",,,,60 m²,52 m²
Full Furnished,"Rp 1,13 Miliar","Rp 1,13 Miliar",,,,84 m²,60 m²
Full Furnished,"Rp 1,4 Miliar","Rp 1,4 Miliar",,,,60 m²,72 m²
Full Furnished,Rp 540 Juta,"Pamulang, Tangerang Selatan",,,,64 m²,45 m²
Full Furnished,Rp 970 Juta,"Pamulang, Tangerang Selatan",,,,160 m²,185 m²
Full Furnished,Rp 600 Juta,"Pamulang, Tangerang Selatan",,,,72 m²,48 m²
Full Furnished,Rp 970 Juta,"Pamulang, Tangerang Selatan",,,,161 m²,150 m²
Full Furnished,"Rp 1,45 Miliar","Rp 1,45 Miliar",,,,128 m²,150 m²
Full Furnished,Rp 780 Juta,"Pamulang, Tangerang Selatan",,,,99 m²,39 m²
Full Furnished,"Rp 1,13 Miliar","Rp 1,13 Miliar",,,,100 m²,70 m²
Full Furnished,Rp 740 Juta,"Pamulang, Tangerang Selatan",,,,108 m²,96 m²
Full Furnished,Rp 940 Juta,"Pamulang, Tangerang Selatan",,,,72 m²,45 m²
Full Furnished,Rp 590 Juta,"Pamulang, Tangerang Selatan",2,1,,100 m²,51 m²
Full Furnished,"Rp 2,13 Miliar","Rp 2,13 Miliar",,,,124 m²,124 m²
Full Furnished,"Rp 2,68 Miliar","Rp 2,68 Miliar",,,,178 m²,200 m²
Full Furnished,Rp 590 Juta,"Lippo Karawaci, Tangerang",,,,72 m²,40 m²
Full Furnished,"Rp 3,3 Miliar","Rp 3,3 Miliar",,,,160 m²,96 m²
Full Furnished,Rp 3 Miliar,"Gading Serpong, Tangerang",,,,180 m²,250 m²
Full Furnished,"Rp 1,4 Miliar","Rp 1,4 Miliar",,,,115 m²,80 m²
Full Furnished,Rp 540 Juta,"Ciputat, Tangerang Selatan",,,,74 m²,45 m²
Full Furnished,"Rp 2,57 Miliar","Rp 2,57 Miliar",,,,400 m²,220 m²
Full Furnished,"Rp 1,4 Miliar","Rp 1,4 Miliar",,,,90 m²,120 m²
Full Furnished,"Rp 2,04 Miliar","Rp 2,04 Miliar",,,,112 m²,170 m²
Full Furnished,Rp 860 Juta,"Ciputat, Tangerang Selatan",,,,75 m²,50 m²
Full Furnished,"Rp 1,08 Miliar","Rp 1,08 Miliar",,,,94 m²,60 m²
Full Furnished,"Rp 1,02 Miliar","Rp 1,02 Miliar",,,,66 m²,77 m²
Full Furnished,Rp 970 Juta,"BSD, Tangerang",,,,60 m²,55 m²
Full Furnished,Rp 920 Juta,"BSD, Tangerang",,,,83 m²,36 m²
Full Furnished,Rp 1 Miliar,"BSD, Tangerang",,,,72 m²,36 m²
Full Furnished,"Rp 1,75 Miliar","Rp 1,75 Miliar",,,,85 m²,200 m²
Full Furnished,"Rp 1,75 Miliar","Rp 1,75 Miliar",,,,120 m²,60 m²
Full Furnished,Rp 750 Juta,"BSD City, Tangerang",,,,72 m²,36 m²
Full Furnished,"Rp 1,23 Miliar","Rp 1,23 Miliar",2,1,,48 m²,45 m²
Full Furnished,"Rp 1,17 Miliar","Rp 1,17 Miliar",,,,100 m²,45 m²
Full Furnished,"Rp 2,12 Miliar","Rp 2,12 Miliar",,,,216 m²,140 m²
Full Furnished,Rp 650 Juta,"Bintaro, Tangerang Selatan",,,,78 m²,54 m²
Full Furnished,"Rp 2,09 Miliar","Rp 2,09 Miliar",,,,112 m²,69 m²
Full Furnished,Rp 750 Juta,"Bintaro, Tangerang Selatan",,,,60 m²,36 m²
Full Furnished,"Rp 1,18 Miliar","Rp 1,18 Miliar",,,,68 m²,42 m²
Full Furnished,"Rp 1,08 Miliar","Rp 1,08 Miliar",,,,125 m²,100 m²
Full Furnished,"Rp 1,4 Miliar","Rp 1,4 Miliar",,,,120 m²,80 m²
Full Furnished,"Rp 2,04 Miliar","Rp 2,04 Miliar",,,,112 m²,170 m²
Siap Huni,"Rp 1,5 Miliar","Rp 1,5 Miliar",4,1,,100 m²,160 m²
Full Furnished,"Rp 1,4 Miliar","Rp 1,4 Miliar",,,,120 m²,90 m²
Full Furnished,"Rp 1,52 Miliar","Rp 1,52 Miliar",,,,90 m²,63 m²
Full Furnished,"Rp 1,29 Miliar","Rp 1,29 Miliar",,,,123 m²,45 m²
Full Furnished,"Rp 1,4 Miliar","Rp 1,4 Miliar",,,,234 m²,130 m²
Full Furnished,"Rp 1,16 Miliar","Rp 1,16 Miliar",,,,74 m²,74 m²
Full Furnished,Rp 890 Juta,"BSD City, Tangerang",,,,72 m²,36 m²
Full Furnished,Rp 750 Juta,"BSD City, Tangerang",,,,108 m²,100 m²
Full Furnished,"Rp 1,72 Miliar","Rp 1,72 Miliar",,,,120 m²,200 m²
Full Furnished,"Rp 1,8 Miliar","Rp 1,8 Miliar",,,,120 m²,72 m²
Full Furnished,"Rp 1,98 Miliar","Rp 1,98 Miliar",,,,60 m²,77 m²
Full Furnished,"Rp 1,75 Miliar","Rp 1,75 Miliar",,,,120 m²,60 m²
Full Furnished,"Rp 1,35 Miliar","Rp 1,35 Miliar",,,,125 m²,112 m²
Full Furnished,"Rp 2,06 Miliar","Rp 2,06 Miliar",,,,169 m²,120 m²
Full Furnished,"Rp 3,69 Miliar","Rp 3,69 Miliar",,,,265 m²,200 m²
Full Furnished,"Rp 1,5 Miliar","Rp 1,5 Miliar",,,,76 m²,67 m²
Full Furnished,"Rp 1,4 Miliar","Rp 1,4 Miliar",,,,74 m²,96 m²
Full Furnished,Rp 540 Juta,"Serpong, Tangerang Selatan",,,,64 m²,45 m²
Full Furnished,Rp 695 Juta,"Serpong, Tangerang Selatan",,,,66 m²,45 m²
Siap Huni,"Rp 1,22 Miliar","Rp 1,22 Miliar",,,,107 m²,115 m²
Full Furnished,"Rp 1,19 Miliar","Rp 1,19 Miliar",,,,120 m²,90 m²
Full Furnished,"Rp 1,75 Miliar","Rp 1,75 Miliar",,,,85 m²,200 m²
Full Furnished,"Rp 1,07 Miliar","Rp 1,07 Miliar",,,,103 m²,66 m²
Full Furnished,"Rp 1,15 Miliar","Rp 1,15 Miliar",,,,96 m²,60 m²
Full Furnished,Rp 530 Juta,"Pamulang, Tangerang Selatan",,,,78 m²,70 m²
Full Furnished,"Rp 1,08 Miliar","Rp 1,08 Miliar",,,,72 m²,120 m²
Full Furnished,Rp 650 Juta,"Pamulang, Tangerang Selatan",,,,81 m²,42 m²
Full Furnished,"Rp 1,1 Miliar","Rp 1,1 Miliar",,,,72 m²,90 m²
Full Furnished,"Rp 1,54 Miliar","Rp 1,54 Miliar",,,,120 m²,65 m²
Full Furnished,Rp 970 Juta,"Pamulang, Tangerang Selatan",,,,160 m²,185 m²
Full Furnished,Rp 970 Juta,"Lippo Karawaci, Tangerang",3,1,,120 m²,110 m²
Full Furnished,"Rp 1,22 Miliar","Rp 1,22 Miliar",,,,120 m²,80 m²
Siap Huni,"Rp 2,25 Miliar","Rp 2,25 Miliar",3,1,,120 m²,150 m²
Full Furnished,"Rp 1,35 Miliar","Rp 1,35 Miliar",,,,84 m²,70 m²
Full Furnished,"Rp 1,03 Miliar","Rp 1,03 Miliar",,,,90 m²,65 m²
Full Furnished,"Rp 1,4 Miliar","Rp 1,4 Miliar",,,,120 m²,90 m²
Full Furnished,"Rp 2,04 Miliar","Rp 2,04 Miliar",,,,120 m²,180 m²
Full Furnished,"Rp 2,04 Miliar","Rp 2,04 Miliar",,,,124 m²,114 m²
Full Furnished,"Rp 1,34 Miliar","Rp 1,34 Miliar",,,,90 m²,130 m²
Full Furnished,"Rp 1,58 Miliar","Rp 1,58 Miliar",,,,90 m²,126 m²
Full Furnished,Rp 650 Juta,"Graha Raya, Tangerang",,,,68 m²,45 m²
Full Furnished,"Rp 1,09 Miliar","Rp 1,09 Miliar",,,,76 m²,50 m²
Full Furnished,"Rp 1,08 Miliar","Rp 1,08 Miliar",,,,163 m²,120 m²
Full Furnished,Rp 680 Juta,"Ciputat, Tangerang Selatan",,,,105 m²,45 m²
Full Furnished,Rp 680 Juta,"Ciputat, Tangerang Selatan",,,,72 m²,45 m²
Full Furnished,"Rp 1,35 Miliar","Rp 1,35 Miliar",,,,125 m²,112 m²
Full Furnished,"Rp 1,4 Miliar","Rp 1,4 Miliar",,,,90 m²,90 m²
Full Furnished,"Rp 1,1 Miliar","Rp 1,1 Miliar",,,,72 m²,90 m²
Full Furnished,Rp 650 Juta,"Cipondoh, Tangerang",,,,68 m²,45 m²
Full Furnished,"Rp 1,4 Miliar","Rp 1,4 Miliar",,,,64 m²,144 m²
Full Furnished,Rp 970 Juta,"Cipondoh, Tangerang",,,,77 m²,57 m²
Full Furnished,"Rp 1,65 Miliar","Rp 1,65 Miliar",,,,112 m²,72 m²
Full Furnished,Rp 800 Juta,"BSD City, Tangerang",,,,72 m²,54 m²
Full Furnished,"Rp 1,65 Miliar","Rp 1,65 Miliar",,,,112 m²,72 m²
Full Furnished,"Rp 1,52 Miliar","Rp 1,52 Miliar",,,,78 m²,73 m²
Full Furnished,"Rp 1,5 Miliar","Rp 1,5 Miliar",,,,100 m²,160 m²
Full Furnished,Rp 1 Miliar,"BSD City, Tangerang",,,,84 m²,45 m²
Full Furnished,"Rp 2,3 Miliar","Rp 2,3 Miliar",,,,135 m²,90 m²
Full Furnished,"Rp 1,65 Miliar","Rp 1,65 Miliar",,,,112 m²,72 m²
Full Furnished,Rp 800 Juta,"BSD, Tangerang",2,1,,72 m²,54 m²
Full Furnished,"Rp 1,5 Miliar","Rp 1,5 Miliar",,,,98 m²,80 m²
Full Furnished,Rp 695 Juta,"BSD, Tangerang",,,,66 m²,45 m²
Full Furnished,"Rp 1,52 Miliar","Rp 1,52 Miliar",,,,78 m²,73 m²
Full Furnished,"Rp 1,75 Miliar","Rp 1,75 Miliar",,,,85 m²,200 m²
Siap Huni,"Rp 1,08 Miliar","Rp 1,08 Miliar",,,,72 m²,120 m²
Full Furnished,"Rp 1,8 Miliar","Rp 1,8 Miliar",3,1,,84 m²,109 m²
Full Furnished,Rp 670 Juta,"Bintaro, Tangerang Selatan",,,,73 m²,91 m²
Full Furnished,"Rp 1,58 Miliar","Rp 1,58 Miliar",,,,90 m²,126 m²
Full Furnished,"Rp 1,3 Miliar","Rp 1,3 Miliar",,,,100 m²,115 m²
Rp 35 Miliar,Rp 35 Miliar,"BSD, Tangerang",4,2,,570 m²,545 m²
Dekat Akses Transportasi,"Rp 3,2 Miliar","Rp 3,2 Miliar",4,2,,120 m²,200 m²
Full Furnished,"Rp 3,05 Miliar","Rp 3,05 Miliar",,,,126 m²,204 m²
Siap Huni,"Rp 2,6 Miliar","Rp 2,6 Miliar",3,2,,90 m²,120 m²
Full Furnished,Rp 25 Miliar,"BSD City, Tangerang",5,1,,495 m²,545 m²
Full Furnished,"Rp 29,5 Miliar","Rp 29,5 Miliar",5,1,,660 m²,545 m²
Siap Huni,"Rp 2,4 Miliar","Rp 2,4 Miliar",,,,72 m²,125 m²
Dekat Pusat Perbelanjaan,"Rp 5,5 Miliar","Rp 5,5 Miliar",,,,350 m²,288 m²
Siap Huni,"Rp 4,2 Miliar","Rp 4,2 Miliar",5,2,,200 m²,220 m²
Full Furnished,"Rp 3,5 Miliar","Rp 3,5 Miliar",4,2,,102 m²,160 m²
Full Furnished,"Rp 1,2 Miliar","Rp 1,2 Miliar",2,1,,40 m²,51 m²
Full Furnished,Rp 25 Miliar,"Rumah Mewah Furnish Ada Lift, Kolam Renang",5,2,,495 m²,545 m²
Rp 26 Miliar,Rp 26 Miliar,"Rumah hook view langsung Botanical Park mewah full marmer ada lift akses lgs Botanical Park di Laurel Navapark BSD dekat Grand lucky, aeon mall",4,2,,414 m²,445 m²
Full Furnished,"Rp 15,5 Miliar","Rp 15,5 Miliar",5,2,,336 m²,349 m²
Dekat Akses Transportasi,Rp 29 Miliar,"Jual Cepat Rumah Mewah Hook Lyndon Navapark Bsd Dekat Dengan Botanical Park,grand Lucky",5,2,,660 m²,545 m²
Rp 19 Miliar,Rp 19 Miliar,"BSD City, Tangerang",5,2,,396 m²,465 m²
Full Furnished,"Rp 2,7 Miliar","Rp 2,7 Miliar",4,2,,135 m²,216 m²
Full Furnished,"Rp 2,1 Miliar","Rp 2,1 Miliar",4,1,,118 m²,200 m²
Siap Huni,Rp 4 Miliar,"Bintaro, Tangerang Selatan",4,2,,150 m²,190 m²
Dekat Akses Transportasi,Rp 540 Juta,"Rumah Modern Ala Jepang 2 Kamar Tidur Dijual di Bogor, Fasilitas Lengkap",2,1,,72 m²,36 m²
Full Furnished,Rp 6 Miliar,"BSD, Tangerang",5,3,,387 m²,425 m²
Siap Huni,"Rp 1,14 Miliar","Rp 1,14 Miliar",2,1,,60 m²,66 m²
Siap Huni,"Rp 2,36 Miliar","Rp 2,36 Miliar",3,1,,72 m²,125 m²
Full Furnished,"Rp 1,35 Miliar","Rp 1,35 Miliar",3,1,,50 m²,68 m²
Siap Huni,Rp 5 Miliar,"Rumah Hoek Lebar 11, Siap Huni Icon Cosmo Bsd City",4,2,,187 m²,230 m²
Siap Huni,"Rp 2,85 Miliar","Rp 2,85 Miliar",,,,119 m²,120 m²
Full Furnished,"Rp 7,2 Miliar","Rp 7,2 Miliar",3,1,,340 m²,350 m²
Full Furnished,"Rp 5,7 Miliar","Rp 5,7 Miliar",,,,144 m²,358 m²
Full Furnished,"Rp 3,6 Miliar","Rp 3,6 Miliar",,,,128 m²,108 m²
Full Furnished,"Rp 5,6 Miliar","Rp 5,6 Miliar",4,1,,250 m²,230 m²
Full Furnished,"Rp 2,8 Miliar","Rp 2,8 Miliar",,,,120 m²,128 m²
Full Furnished,"Rp 1,85 Miliar","Rp 1,85 Miliar",,,,60 m²,88 m²
"Rp 2,25 Miliar","Rp 2,25 Miliar","Rp 2,25 Miliar",,,,84 m²,84 m²
Rp 7 Miliar,Rp 7 Miliar,"BSD, Tangerang",18,5,,358 m²,650 m²
Full Furnished,"Rp 2,15 Miliar","Rp 2,15 Miliar",3,1,,63 m²,105 m²
Full Furnished,"Rp 1,49 Miliar","Rp 1,49 Miliar",3,1,,50 m²,68 m²
Bebas Banjir,Rp 989 Juta,"Serpong, Tangerang Selatan",3,1,,69 m²,81 m²
Dekat Akses Transportasi,"Rp 3,2 Miliar","Rp 3,2 Miliar",,,,500 m²,108 m²
